2022-05-18/14:11:39		Reading training file
2022-05-18/20:01:46		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:01:46		Finding missing values is a success
2022-05-18/20:01:46		There are no null values, thus filling missing values is a success
2022-05-18/20:01:46		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:01:46		Finding outliers is a success
2022-05-18/20:01:46		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/20:01:46		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:01:46		Finding outliers is a success
2022-05-18/20:01:46		Saving the plot of target data after replacing outliers is a success
2022-05-18/20:01:46		There are no outliers, thus replacing outliers is a success
2022-05-18/20:18:22		Entered the readDataset method of the Preprocessor class
2022-05-18/20:18:23		Reading training data is a success
2022-05-18/20:18:23		Saving the plot of target data in Plots folder is a success
2022-05-18/20:18:23		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:18:23		Finding missing values is a success
2022-05-18/20:18:23		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/20:18:23		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:18:23		Finding missing values is a success
2022-05-18/20:18:23		There are no null values, thus filling missing values is a success
2022-05-18/20:18:23		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:18:23		Finding outliers is a success
2022-05-18/20:18:34		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/20:18:43		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:18:43		Finding outliers is a success
2022-05-18/20:18:46		There are no outliers, thus replacing outliers is a success
2022-05-18/20:22:07		Entered the readDataset method of the Preprocessor class
2022-05-18/20:22:07		Reading training data is a success
2022-05-18/20:22:07		Saving the plot of target data in Plots folder is a success
2022-05-18/20:22:07		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:22:07		Finding missing values is a success
2022-05-18/20:22:07		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/20:22:07		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:22:07		Finding missing values is a success
2022-05-18/20:22:07		There are no null values, thus filling missing values is a success
2022-05-18/20:22:07		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:22:07		Finding outliers is a success
2022-05-18/20:22:14		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/20:22:18		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:22:18		Finding outliers is a success
2022-05-18/20:22:20		There are no outliers, thus replacing outliers is a success
2022-05-18/20:22:50		Saving the plot of target data after replacing outliers is a success
2022-05-18/20:36:18		Entered the readDataset method of the Preprocessor class
2022-05-18/20:36:18		Reading training data is a success
2022-05-18/20:36:18		Saving the plot of target data in Plots folder is a success
2022-05-18/20:36:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:36:18		Finding missing values is a success
2022-05-18/20:36:18		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/20:36:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:36:18		Finding missing values is a success
2022-05-18/20:36:18		There are no null values, thus filling missing values is a success
2022-05-18/20:36:18		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:36:18		Finding outliers is a success
2022-05-18/20:36:18		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/20:36:18		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:36:18		Finding outliers is a success
2022-05-18/20:36:18		Saving the plot of target data after replacing outliers is a success
2022-05-18/20:36:18		There are no outliers, thus replacing outliers is a success
2022-05-18/20:36:18		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/20:36:18		Creating New features is a success
2022-05-18/20:44:36		Entered the readDataset method of the Preprocessor class
2022-05-18/20:44:36		Reading training data is a success
2022-05-18/20:44:36		Saving the plot of target data in Plots folder is a success
2022-05-18/20:44:36		Entered the readDataset method of the Preprocessor class
2022-05-18/20:44:37		Reading training data is a success
2022-05-18/20:44:37		Saving the plot of target data in Plots folder is a success
2022-05-18/20:44:37		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:44:37		Finding missing values is a success
2022-05-18/20:44:37		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/20:44:37		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:44:37		Finding missing values is a success
2022-05-18/20:44:37		There are no null values, thus filling missing values is a success
2022-05-18/20:44:37		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:44:37		Finding outliers is a success
2022-05-18/20:44:37		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/20:44:37		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:44:37		Finding outliers is a success
2022-05-18/20:44:37		Saving the plot of target data after replacing outliers is a success
2022-05-18/20:44:37		There are no outliers, thus replacing outliers is a success
2022-05-18/20:44:37		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/20:44:37		Creating New features is a success
2022-05-18/20:44:37		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/20:44:37		Creating New features is a success
2022-05-18/20:57:26		Entered the readDataset method of the Preprocessor class
2022-05-18/20:57:26		Reading data is a success
2022-05-18/20:57:26		Entered the readDataset method of the Preprocessor class
2022-05-18/20:57:26		Reading data is a success
2022-05-18/20:57:26		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:57:26		Finding missing values is a success
2022-05-18/20:57:26		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/20:57:26		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:57:26		Finding missing values is a success
2022-05-18/20:57:26		There are no null values, thus filling missing values is a success
2022-05-18/20:57:26		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:57:26		Finding outliers is a success
2022-05-18/20:57:26		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/20:57:26		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:57:26		Finding outliers is a success
2022-05-18/20:57:26		Saving the plot of target data after replacing outliers is a success
2022-05-18/20:57:26		There are no outliers, thus replacing outliers is a success
2022-05-18/20:57:26		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/20:57:26		Creating New features is a success
2022-05-18/20:57:26		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/20:57:26		Creating New features is a success
2022-05-18/20:58:18		Entered the readDataset method of the Preprocessor class
2022-05-18/20:58:18		Reading data is a success
2022-05-18/20:58:18		Entered the readDataset method of the Preprocessor class
2022-05-18/20:58:18		Reading data is a success
2022-05-18/20:58:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:58:18		Finding missing values is a success
2022-05-18/20:58:18		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/20:58:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/20:58:18		Finding missing values is a success
2022-05-18/20:58:18		There are no null values, thus filling missing values is a success
2022-05-18/20:58:18		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:58:18		Finding outliers is a success
2022-05-18/20:58:18		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/20:58:18		Entered the checkOutliers method of the Preprocessor class
2022-05-18/20:58:18		Finding outliers is a success
2022-05-18/20:58:19		Saving the plot of target data after replacing outliers is a success
2022-05-18/20:58:19		There are no outliers, thus replacing outliers is a success
2022-05-18/20:58:19		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/20:58:19		Creating New features is a success
2022-05-18/20:58:19		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/20:58:19		Creating New features is a success
2022-05-18/21:01:14		Entered the readDataset method of the Preprocessor class
2022-05-18/21:01:14		Reading data is a success
2022-05-18/21:01:14		Entered the readDataset method of the Preprocessor class
2022-05-18/21:01:14		Reading data is a success
2022-05-18/21:01:14		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/21:01:14		Finding missing values is a success
2022-05-18/21:01:14		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/21:01:14		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/21:01:14		Finding missing values is a success
2022-05-18/21:01:14		There are no null values, thus filling missing values is a success
2022-05-18/21:01:14		Entered the checkOutliers method of the Preprocessor class
2022-05-18/21:01:14		Finding outliers is a success
2022-05-18/21:01:14		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/21:01:14		Entered the checkOutliers method of the Preprocessor class
2022-05-18/21:01:14		Finding outliers is a success
2022-05-18/21:01:14		Saving the plot of target data after replacing outliers is a success
2022-05-18/21:01:14		There are no outliers, thus replacing outliers is a success
2022-05-18/21:01:14		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/21:01:14		Creating New features is a success
2022-05-18/21:01:14		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/21:01:14		Creating New features is a success
2022-05-18/21:01:41		Entered the readDataset method of the Preprocessor class
2022-05-18/21:01:41		Reading data is a success
2022-05-18/21:01:41		Entered the readDataset method of the Preprocessor class
2022-05-18/21:01:41		Reading data is a success
2022-05-18/21:01:41		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/21:01:41		Finding missing values is a success
2022-05-18/21:01:41		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/21:01:41		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/21:01:41		Finding missing values is a success
2022-05-18/21:01:41		There are no null values, thus filling missing values is a success
2022-05-18/21:01:41		Entered the checkOutliers method of the Preprocessor class
2022-05-18/21:01:41		Finding outliers is a success
2022-05-18/21:01:41		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/21:01:41		Entered the checkOutliers method of the Preprocessor class
2022-05-18/21:01:41		Finding outliers is a success
2022-05-18/21:01:41		Saving the plot of target data after replacing outliers is a success
2022-05-18/21:01:41		There are no outliers, thus replacing outliers is a success
2022-05-18/21:01:41		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/21:01:41		Creating New features is a success
2022-05-18/21:01:41		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/21:01:41		Creating New features is a success
2022-05-18/21:14:20		Entered the readDataset method of the Preprocessor class
2022-05-18/21:14:20		Reading data is a success
2022-05-18/21:14:20		Entered the readDataset method of the Preprocessor class
2022-05-18/21:14:20		Reading data is a success
2022-05-18/21:14:20		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/21:14:20		Finding missing values is a success
2022-05-18/21:14:20		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/21:14:20		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/21:14:20		Finding missing values is a success
2022-05-18/21:14:20		There are no null values, thus filling missing values is a success
2022-05-18/21:14:20		Entered the checkOutliers method of the Preprocessor class
2022-05-18/21:14:20		Finding outliers is a success
2022-05-18/21:14:20		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/21:14:20		Entered the checkOutliers method of the Preprocessor class
2022-05-18/21:14:20		Finding outliers is a success
2022-05-18/21:14:21		Saving the plot of target data after replacing outliers is a success
2022-05-18/21:14:21		There are no outliers, thus replacing outliers is a success
2022-05-18/21:14:21		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/21:14:21		Creating New features is a success
2022-05-18/21:14:21		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/21:14:21		Creating New features is a success
2022-05-18/21:14:21		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-18/21:50:17		Entered the readDataset method of the Preprocessor class
2022-05-18/21:50:17		Reading data is a success
2022-05-18/21:50:17		Entered the readDataset method of the Preprocessor class
2022-05-18/21:50:17		Reading data is a success
2022-05-18/21:50:17		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/21:50:17		Finding missing values is a success
2022-05-18/21:50:17		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/21:50:17		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/21:50:17		Finding missing values is a success
2022-05-18/21:50:17		There are no null values, thus filling missing values is a success
2022-05-18/21:50:17		Entered the checkOutliers method of the Preprocessor class
2022-05-18/21:50:17		Finding outliers is a success
2022-05-18/21:50:17		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/21:50:17		Entered the checkOutliers method of the Preprocessor class
2022-05-18/21:50:17		Finding outliers is a success
2022-05-18/21:50:18		Saving the plot of target data after replacing outliers is a success
2022-05-18/21:50:18		There are no outliers, thus replacing outliers is a success
2022-05-18/21:50:18		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/21:50:18		Creating New features is a success
2022-05-18/21:50:18		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/21:50:18		Creating New features is a success
2022-05-18/21:50:18		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-18/21:50:18		Entered the trainModel method of the Preprocessor class
2022-05-18/21:50:19		Training different models is a success
2022-05-18/21:50:20		Selecting the best parameters using hyperparameter tuning is a success
2022-05-18/21:50:20		Saving the best model
2022-05-18/22:05:24		Entered the readDataset method of the Preprocessor class
2022-05-18/22:05:24		Reading data is a success
2022-05-18/22:05:24		Entered the readDataset method of the Preprocessor class
2022-05-18/22:05:24		Reading data is a success
2022-05-18/22:05:24		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/22:05:24		Finding missing values is a success
2022-05-18/22:05:24		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/22:05:24		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/22:05:24		Finding missing values is a success
2022-05-18/22:05:24		There are no null values, thus filling missing values is a success
2022-05-18/22:05:24		Entered the checkOutliers method of the Preprocessor class
2022-05-18/22:05:24		Finding outliers is a success
2022-05-18/22:05:24		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/22:05:24		Entered the checkOutliers method of the Preprocessor class
2022-05-18/22:05:24		Finding outliers is a success
2022-05-18/22:05:24		Saving the plot of target data after replacing outliers is a success
2022-05-18/22:05:24		There are no outliers, thus replacing outliers is a success
2022-05-18/22:05:24		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/22:05:24		Creating New features is a success
2022-05-18/22:05:24		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/22:05:24		Creating New features is a success
2022-05-18/22:05:24		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-18/22:05:24		Entered the trainModel method of the Preprocessor class
2022-05-18/22:05:25		Training different models is a success
2022-05-18/22:05:26		Selecting the best parameters using hyperparameter tuning is a success
2022-05-18/22:05:26		Saving the best model
2022-05-18/22:05:26		Entered the predictingTestData method of the Preprocessor class
2022-05-18/23:33:32		Entered the readDataset method of the Preprocessor class
2022-05-18/23:33:32		Reading data is a success
2022-05-18/23:33:32		Entered the readDataset method of the Preprocessor class
2022-05-18/23:33:32		Reading data is a success
2022-05-18/23:33:32		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:33:32		Finding missing values is a success
2022-05-18/23:33:32		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/23:33:32		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:33:32		Finding missing values is a success
2022-05-18/23:33:32		There are no null values, thus filling missing values is a success
2022-05-18/23:33:32		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:33:32		Finding outliers is a success
2022-05-18/23:33:32		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/23:33:32		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:33:32		Finding outliers is a success
2022-05-18/23:33:33		Saving the plot of target data after replacing outliers is a success
2022-05-18/23:33:33		There are no outliers, thus replacing outliers is a success
2022-05-18/23:33:33		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:33:33		Creating New features is a success
2022-05-18/23:33:33		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:33:33		Creating New features is a success
2022-05-18/23:33:33		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-18/23:33:33		Entered the trainModel method of the Preprocessor class
2022-05-18/23:33:34		Training different models is a success
2022-05-18/23:33:34		Selecting the best parameters using hyperparameter tuning is a success
2022-05-18/23:33:34		Saving the best model
2022-05-18/23:33:34		Entered the predictingTestData method of the Preprocessor class
2022-05-18/23:38:12		Entered the readDataset method of the Preprocessor class
2022-05-18/23:38:12		Reading data is a success
2022-05-18/23:38:12		Entered the readDataset method of the Preprocessor class
2022-05-18/23:38:12		Reading data is a success
2022-05-18/23:38:12		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:38:12		Finding missing values is a success
2022-05-18/23:38:12		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/23:38:12		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:38:12		Finding missing values is a success
2022-05-18/23:38:12		There are no null values, thus filling missing values is a success
2022-05-18/23:38:12		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:38:12		Finding outliers is a success
2022-05-18/23:38:12		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/23:38:12		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:38:12		Finding outliers is a success
2022-05-18/23:38:13		Saving the plot of target data after replacing outliers is a success
2022-05-18/23:38:13		There are no outliers, thus replacing outliers is a success
2022-05-18/23:38:13		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:38:13		Creating New features is a success
2022-05-18/23:38:13		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:38:13		Creating New features is a success
2022-05-18/23:38:13		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-18/23:38:13		Entered the trainModel method of the Preprocessor class
2022-05-18/23:38:14		Training different models is a success
2022-05-18/23:38:14		Selecting the best parameters using hyperparameter tuning is a success
2022-05-18/23:38:15		Saving the best model
2022-05-18/23:38:15		Entered the predictingTestData method of the Preprocessor class
2022-05-18/23:42:50		Entered the readDataset method of the Preprocessor class
2022-05-18/23:42:50		Reading data is a success
2022-05-18/23:42:50		Entered the readDataset method of the Preprocessor class
2022-05-18/23:42:50		Reading data is a success
2022-05-18/23:42:50		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:42:50		Finding missing values is a success
2022-05-18/23:42:50		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/23:42:50		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:42:50		Finding missing values is a success
2022-05-18/23:42:50		There are no null values, thus filling missing values is a success
2022-05-18/23:42:50		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:42:50		Finding outliers is a success
2022-05-18/23:42:50		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/23:42:50		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:42:50		Finding outliers is a success
2022-05-18/23:42:50		Saving the plot of target data after replacing outliers is a success
2022-05-18/23:42:50		There are no outliers, thus replacing outliers is a success
2022-05-18/23:42:50		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:42:50		Creating New features is a success
2022-05-18/23:42:50		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:42:50		Creating New features is a success
2022-05-18/23:42:50		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-18/23:42:50		Entered the trainModel method of the Preprocessor class
2022-05-18/23:42:52		Training different models is a success
2022-05-18/23:42:52		Selecting the best parameters using hyperparameter tuning is a success
2022-05-18/23:42:52		Saving the best model
2022-05-18/23:42:52		Entered the predictingTestData method of the Preprocessor class
2022-05-18/23:46:02		Entered the readDataset method of the Preprocessor class
2022-05-18/23:46:02		Reading data is a success
2022-05-18/23:46:02		Entered the readDataset method of the Preprocessor class
2022-05-18/23:46:02		Reading data is a success
2022-05-18/23:46:02		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:46:02		Finding missing values is a success
2022-05-18/23:46:02		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/23:46:02		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:46:02		Finding missing values is a success
2022-05-18/23:46:02		There are no null values, thus filling missing values is a success
2022-05-18/23:46:02		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:46:02		Finding outliers is a success
2022-05-18/23:46:02		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/23:46:02		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:46:02		Finding outliers is a success
2022-05-18/23:46:03		Saving the plot of target data after replacing outliers is a success
2022-05-18/23:46:03		There are no outliers, thus replacing outliers is a success
2022-05-18/23:46:03		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:46:03		Creating New features is a success
2022-05-18/23:46:03		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:46:03		Creating New features is a success
2022-05-18/23:46:03		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-18/23:46:03		Entered the trainModel method of the Preprocessor class
2022-05-18/23:46:04		Training different models is a success
2022-05-18/23:46:04		Selecting the best parameters using hyperparameter tuning is a success
2022-05-18/23:46:05		Saving the best model
2022-05-18/23:46:05		Entered the predictingTestData method of the Preprocessor class
2022-05-18/23:47:13		Entered the readDataset method of the Preprocessor class
2022-05-18/23:47:13		Reading data is a success
2022-05-18/23:47:13		Entered the readDataset method of the Preprocessor class
2022-05-18/23:47:13		Reading data is a success
2022-05-18/23:47:13		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:47:13		Finding missing values is a success
2022-05-18/23:47:13		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/23:47:13		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:47:13		Finding missing values is a success
2022-05-18/23:47:13		There are no null values, thus filling missing values is a success
2022-05-18/23:47:13		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:47:13		Finding outliers is a success
2022-05-18/23:47:13		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/23:47:13		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:47:13		Finding outliers is a success
2022-05-18/23:47:13		Saving the plot of target data after replacing outliers is a success
2022-05-18/23:47:13		There are no outliers, thus replacing outliers is a success
2022-05-18/23:47:13		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:47:14		Creating New features is a success
2022-05-18/23:47:14		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:47:14		Creating New features is a success
2022-05-18/23:47:14		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-18/23:47:14		Entered the trainModel method of the Preprocessor class
2022-05-18/23:47:15		Training different models is a success
2022-05-18/23:47:15		Selecting the best parameters using hyperparameter tuning is a success
2022-05-18/23:47:15		Saving the best model
2022-05-18/23:47:15		Entered the predictingTestData method of the Preprocessor class
2022-05-18/23:50:02		Entered the readDataset method of the Preprocessor class
2022-05-18/23:50:02		Reading data is a success
2022-05-18/23:50:02		Entered the readDataset method of the Preprocessor class
2022-05-18/23:50:02		Reading data is a success
2022-05-18/23:50:02		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:50:02		Finding missing values is a success
2022-05-18/23:50:02		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/23:50:02		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:50:02		Finding missing values is a success
2022-05-18/23:50:02		There are no null values, thus filling missing values is a success
2022-05-18/23:50:02		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:50:02		Finding outliers is a success
2022-05-18/23:50:02		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/23:50:02		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:50:02		Finding outliers is a success
2022-05-18/23:50:02		Saving the plot of target data after replacing outliers is a success
2022-05-18/23:50:02		There are no outliers, thus replacing outliers is a success
2022-05-18/23:50:02		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:50:02		Creating New features is a success
2022-05-18/23:50:02		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:50:02		Creating New features is a success
2022-05-18/23:50:02		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-18/23:50:02		Entered the trainModel method of the Preprocessor class
2022-05-18/23:50:03		Training different models is a success
2022-05-18/23:50:04		Selecting the best parameters using hyperparameter tuning is a success
2022-05-18/23:50:04		Saving the best model
2022-05-18/23:50:04		Entered the predictingTestData method of the Preprocessor class
2022-05-18/23:53:49		Entered the readDataset method of the Preprocessor class
2022-05-18/23:53:49		Reading data is a success
2022-05-18/23:53:49		Entered the readDataset method of the Preprocessor class
2022-05-18/23:53:49		Reading data is a success
2022-05-18/23:53:49		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:53:49		Finding missing values is a success
2022-05-18/23:53:49		Entered the fillMissingValues method of the Preprocessor class
2022-05-18/23:53:49		Entered the checkNullvalues method of the Preprocessor class
2022-05-18/23:53:49		Finding missing values is a success
